id,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
sample1,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll001,nspc_pearlVTurner_album01_0003.jpeg,,,Pearl V. Turner photo 1,Pearl V. Turner,8/10/1914,"Film photo of buildings in Corona; caption ""We et dinner here (Corona)""",,"Corona, Colorado",,,"Pg 1, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll002,nspc_pearlVTurner_album01_0003.jpeg,,,Pearl V. Turner photo 2,Pearl V. Turner,8/10/1914,"Film photo of three men standing in a row in front of a building; caption ""Barnard, Gieske, Harvey"" ",,Colorado ,,,"Pg 1, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll003,nspc_pearlVTurner_album01_0003.jpeg,,,Pearl V. Turner photo 3,Pearl V. Turner,8/10/1914,"Film photo of a landscape with a hill and house in the foreground; caption ""Giant Ladder at Tolland"" ",,"Tolland, Colorado ",,,"Pg 1, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll004,nspc_pearlVTurner_album01_0003.jpeg,,,Pearl V. Turner photo 4,Pearl V. Turner,8/10/1914,Film photo of a railroad with a train going by on the tracks; no caption,,Colorado ,,,"Pg 1, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll005,nspc_pearlVTurner_album01_0003.jpeg,,,Pearl V. Turner photo 5,Pearl V. Turner,8/10/1914,"Film photo of many horses and carts in a row in front of buildings; caption ""Detrained at Granby"" ",,"Granby, Colorado",,,"Pg 1, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll006,nspc_pearlVTurner_album01_0004.jpeg,,,Pearl V. Turner photo 6,Pearl V. Turner,8/10/1914,"Film photo of the back of a bus on a road with a pile behind it; caption ""Buses took us to camp"" ",,Colorado ,,,"Pg 2, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll007,nspc_pearlVTurner_album01_0004.jpeg,,,Pearl V. Turner photo 7,Pearl V. Turner,8/10/1914,"Film photo of a landscape with a mountains and foliage in the background and a road in the foreground; caption ""Yia Highway"" ",,Colorado ,,,"Pg 2, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll008,nspc_pearlVTurner_album01_0004.jpeg,,,Pearl V. Turner photo 8,Pearl V. Turner,8/10/1914,"Film photo of a group of people in a row sitting on the ground in a forest; caption ""Resting"" ",,Colorado ,,,"Pg 2, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll009,nspc_pearlVTurner_album01_0004.jpeg,,,Pearl V. Turner photo 9,Pearl V. Turner,8/10/1914,"Film photo of a group of people standing around a fire in a forest next to a building; caption ""at Corona in the rain"" ",,"Corona, Colorado ",,,"Pg 2, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll010,nspc_pearlVTurner_album01_0005.jpeg,,,Pearl V. Turner photo 10,Pearl V. Turner,8/10/1914,Film photo of a group of people in a forest by a buildng; no caption,,Colorado ,,,"Pg 3, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll011,nspc_pearlVTurner_album01_0005.jpeg,,,Pearl V. Turner photo 11,Pearl V. Turner,8/10/1914,"Film photo of a group of people in line around a fire pit in the forest; caption ""Bread Line"" ",,Colorado ,,,"Pg 3, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll012,nspc_pearlVTurner_album01_0005.jpeg,,,Pearl V. Turner photo 12,Pearl V. Turner,8/10/1914,"Film photo of two men leaning against a tree in a forest; caption ""James Grafton Rogers- at ease""",,Colorado ,,,"Pg 3, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll013,nspc_pearlVTurner_album01_0005.jpeg,,,Pearl V. Turner photo 13,Pearl V. Turner,8/10/1914,"Film photo of tents around a fire pit in a forest; caption ""Tenting tonight"" ",,Colorado ,,,"Pg 3, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll014,nspc_pearlVTurner_album01_0006.jpeg,,,Pearl V. Turner photo 14,Pearl V. Turner,8/10/1914,"Film photo of two people sitting next to each other in a forest; caption ""The Whiteheads"" ",,Colorado ,,,"Pg 4, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll015,nspc_pearlVTurner_album01_0006.jpeg,,,Pearl V. Turner photo 15,Pearl V. Turner,8/10/1914,"Film photo of a group of people standing together in a campground; caption ""Hungry""",,Colorado ,,,"Pg 4, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll016,nspc_pearlVTurner_album01_0006.jpeg,,,Pearl V. Turner photo 16,Pearl V. Turner,8/10/1914,"Film photo of people sitting on the ground on grass in a forest; caption ""Just after the Reveille"" ",,Colorado ,,,"Pg 4, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll017,nspc_pearlVTurner_album01_0006.jpeg,,,Pearl V. Turner photo 17,Pearl V. Turner,8/10/1914,"Film photo of a group of people sitting at a long table under a tent outside; caption ""Our Mess Tent"" ",,Colorado ,,,"Pg 4, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll018,,,,Pearl V. Turner photo 18,Pearl V. Turner,8/x/1914,"Film photo of a large group of people standing in a row at a campsite; caption ""Around the campfire"" ",,Colorado ,,,"Pg 5, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll019,,,,Pearl V. Turner photo 19,Pearl V. Turner,8/x/1914,"Film photo of people in a boat on a lake in front of the shore and a boathouse; caption ""Grand Lake Boathouse"" ",,"Grand Lake, Colorado",,,"Pg 5, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll020,,,,Pearl V. Turner photo 20,Pearl V. Turner,8/x/1914,"Film photo of a landscape with a lake and shoreline; caption ""Across Grand Lake""",,"Grand Lake, Colorado ",,,"Pg 5, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll021,,,,Pearl V. Turner photo 21,Pearl V. Turner,8/x/1914,"Film photo of a body of water surrounded by trees; caption ""Hurrying to Grand Lake"" ",,Colorado ,,,"Pg 5, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll022,,,,Pearl V. Turner photo 22,Pearl V. Turner,8/x/1914,"Film photo of two women in a rowboat on a lake; caption ""Katherine Bouderlin + Pearl V. Turner""",,"Grand Lake, Colorado",,,"Pg 5, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll023,,,,Pearl V. Turner photo 23,Pearl V. Turner,8/x/1914,Film photo of a lake shoreline with a boat on the shore; no caption,,"Grand Lake, Colorado",,,"Pg 6, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll024,,,,Pearl V. Turner photo 24,Pearl V. Turner,8/x/1914,Film photo of a lake with mountains in the background; no caption,,"Grand Lake, Colorado",,,"Pg 6, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll025,,,,Pearl V. Turner photo 25,Pearl V. Turner,8/x/1914,Film photo of a group of people in a boat docked on a lake; no caption,,"Grand Lake, Colorado",,,"Pg 6, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll026,,,,Pearl V. Turner photo 26,Pearl V. Turner,8/x/1914,Film photo of a lake with mountains in the background and trees in the foreground; no caption,,"Grand Lake, Colorado",,,"Pg 6, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll027,,,,Pearl V. Turner photo 27,Pearl V. Turner,8/x/1914,Film photo of a sailboat on a lake with mountains; no caption,,"Grand Lake, Colorado",,,"Pg 7, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll028,,,,Pearl V. Turner photo 28,Pearl V. Turner,8/x/1914,Film photo of a lake with sailboats and mountains; no caption,,"Grand Lake, Colorado",,,"Pg 7, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll029,,,,Pearl V. Turner photo 29,Pearl V. Turner,8/x/1914,Film photo of a lake with many boats; no caption,,"Grand Lake, Colorado",,,"Pg 7, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll030,,,,Pearl V. Turner photo 30,,8/x/1914,"Ticket stub reading ""Colorado Mountain Club Motor Boat Ticket""",,Grand Lake Colorado,,,"Pg 7, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,,,,,
coll031,,,,Pearl V. Turner photo 31,Pearl V. Turner,8/x/1914,"Film photo of a lake shore with trees and mountains; caption ""Mt Craig (?)""",,Colorado ,,,"Pg 8, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll032,,,,Pearl V. Turner photo 32,Pearl V. Turner,8/x/1914,"Film photo of columbine flowers; caption ""On our trail- Columbines"" ",,Colorado ,,,"Pg 8, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll033,,,,Pearl V. Turner photo 33,Pearl V. Turner,8/x/1914,"Film photo of two people, one lying on the ground by a tree, the other kneeling; caption ""Solid Comfort""",,Colorado ,,,"Pg 8, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll034,,,,Pearl V. Turner photo 34,Pearl V. Turner,8/12/1914,"Film photo of a grove of trees next to a dirt road; caption ""By the roadside""",,Colorado ,,,"Pg 8, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll035,,,,Pearl V. Turner photo 35,Pearl V. Turner,8/x/1914,"Film photo of trees blowing; caption ""Windswept""",,Colorado ,,,"Pg 9, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll036,,,,Pearl V. Turner photo 36,Pearl V. Turner,8/x/1914,"Film photo of a path in a forest; caption ""Corduroy Road""",,Colorado ,,,"Pg 9, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll037,,,,Pearl V. Turner photo 37,Pearl V. Turner,8/x/1914,"Film photo of a stream in a forest; caption ""We waded them""",,Colorado ,,,"Pg 9, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll038,,,,Pearl V. Turner photo 38,Pearl V. Turner,8/x/1914,"Film photo of a lake with hills and trees; caption ""Corner of Lake""",,Colorado ,,,"Pg 10, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll039,,,,Pearl V. Turner photo 39,Pearl V. Turner,8/x/1914,"Film photo of a body of water with hills, rocks, and trees; no caption",,Colorado ,,,"Pg 10, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll040,,,,Pearl V. Turner photo 40,Pearl V. Turner,8/x/1914,"Film photo a woman sitting on a rock by a stream with trees and boulders; caption ""Katherine Beyerlein""",,Colorado ,,,"Pg 10, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll041,,,,Pearl V. Turner photo 41,Pearl V. Turner,8/13/1914,"Film photo of people standing in a row in a forest; caption ""Going to Ute Mt.""",,Colorado ,,,"Pg 11, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll042,,,,Pearl V. Turner photo 42,Pearl V. Turner,8/13/1914,"Film photo of a landscape with trees and mountains; caption ""Ute Mt.""",,"Ute Mountain, Colorado",,,"Pg 11, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll043,,,,Pearl V. Turner photo 43,Pearl V. Turner,8/13/1914,"Film photo of people walking on a path through a forest; caption ""To Ute Mt""",,"Ute Mountain, Colorado",,,"Pg 11, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll044,,,,Pearl V. Turner photo 44,Pearl V. Turner,8/x/1914,Film photo of a dirt road in a forest; no caption,,Colorado ,,,"Pg 12, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll045,,,,Pearl V. Turner photo 45,Pearl V. Turner,8/13/1914,"Film photo of mountains; caption ""The Arapahoes""",,Colorado ,,,"Pg 12, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll046,,,,Pearl V. Turner photo 46,Pearl V. Turner,8/13/1914,"Film photo of a woman and dog with mountains; caption ""Rex and Pearl""",,Colorado ,,,"Pg 12, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
coll047,,,,Pearl V. Turner photo 47,Pearl V. Turner,8/x/1914,"Film photo of a snowy and icy field with a drop-off; caption ""On Craig""",,"Mount Craig, Colorado",,,"Pg 13, Pearl V. Turner Collection, University of Colorado Boulder, Rare and Distinctive Collections",pgx,Image; StillImage,image/jpeg,,,
